id;name;sub_category_group_id;form_component_name
3;Mini;1;EmploymentContractCreate
4;Teilzeit;1;EmploymentContractCreate
5;Vollzeit;1;EmploymentContractCreate
6;Aushilfe;1;EmploymentContractCreate
7;Praktikumsvertrag;1;EmploymentContractCreate
8;Aufhebungsvertrag;1;EmploymentContractCreate
9;Werkvertrag;1;EmploymentContractCreate
10;Mini;3;EmploymentContractCreate
11;Teilzeit;3;EmploymentContractCreate
12;Vollzeit;3;EmploymentContractCreate
13;Aushilfe;3;EmploymentContractCreate
14;Praktikumsvertrag;3;EmploymentContractCreate
15;Aufhebungsvertrag;3;EmploymentContractCreate
16;Werkvertrag;3;EmploymentContractCreate
79;Mini;2;EmploymentContractCreate
80;Teilzeit;2;EmploymentContractCreate
81;Vollzeit;2;EmploymentContractCreate
82;Aushilfe;2;EmploymentContractCreate
83;Praktikumsvertrag;2;EmploymentContractCreate
84;Aufhebungsvertrag;2;EmploymentContractCreate
85;Werkvertrag;2;EmploymentContractCreate
