id;name;sub_category_group_id;form_component_name;update_component_name
20;Bafög;31;LoanCreditContractCreate;LoanCreditContractUpdate
31;Annuitätendarlehen;4;LoanCreditContractCreate;LoanCreditContractUpdate
32;Modernisierung;4;LoanCreditContractCreate;LoanCreditContractUpdate
33;Tilgungsdarlehen;4;LoanCreditContractCreate;LoanCreditContractUpdate
34;Laufzeitzinsdarlehen;4;LoanCreditContractCreate;LoanCreditContractUpdate
35;Partiarische Darlehen;4;LoanCreditContractCreate;LoanCreditContractUpdate
36;Abrufdarlehen;4;LoanCreditContractCreate;LoanCreditContractUpdate
37;Rollierende Geldmarktdarlehen;4;LoanCreditContractCreate;LoanCreditContractUpdate
38;Endfällige Darlehen;4;LoanCreditContractCreate;LoanCreditContractUpdate
3;Mini;1;EmploymentContractCreate;EmploymentContractUpdate
4;Teilzeit;1;EmploymentContractCreate;EmploymentContractUpdate
5;Vollzeit;1;EmploymentContractCreate;EmploymentContractUpdate
6;Aushilfe;1;EmploymentContractCreate;EmploymentContractUpdate
7;Praktikumsvertrag;1;EmploymentContractCreate;EmploymentContractUpdate
8;Aufhebungsvertrag;1;EmploymentContractCreate;EmploymentContractUpdate
9;Werkvertrag;1;EmploymentContractCreate;EmploymentContractUpdate
10;Mini;3;EmploymentContractCreate;EmploymentContractUpdate
11;Teilzeit;3;EmploymentContractCreate;EmploymentContractUpdate
12;Vollzeit;3;EmploymentContractCreate;EmploymentContractUpdate
13;Aushilfe;3;EmploymentContractCreate;EmploymentContractUpdate
14;Praktikumsvertrag;3;EmploymentContractCreate;EmploymentContractUpdate
15;Aufhebungsvertrag;3;EmploymentContractCreate;EmploymentContractUpdate
16;Werkvertrag;3;EmploymentContractCreate;EmploymentContractUpdate
79;Mini;2;EmploymentContractCreate;EmploymentContractUpdate
80;Teilzeit;2;EmploymentContractCreate;EmploymentContractUpdate
81;Vollzeit;2;EmploymentContractCreate;EmploymentContractUpdate
82;Aushilfe;2;EmploymentContractCreate;EmploymentContractUpdate
83;Praktikumsvertrag;2;EmploymentContractCreate;EmploymentContractUpdate
84;Aufhebungsvertrag;2;EmploymentContractCreate;EmploymentContractUpdate
85;Werkvertrag;2;EmploymentContractCreate;EmploymentContractUpdate
