id;name;created_date;translation_key;category_id
1;Arbeitsvertrag;2023-06-13 00:00:00;jaynaApp.contract.sub-category.employment-contract;1
2;Bankkonto;2023-06-13 00:00:00;jaynaApp.contract.sub-category.bank-account;1
3;Kreditkarte;2023-06-13 00:00:00;jaynaApp.contract.sub-category.credit-card;1
4;Darlehen;2023-06-13 00:00:00;jaynaApp.contract.sub-category.loan;1
5;Dienstleistung;2023-06-13 00:00:00;jaynaApp.contract.sub-category.service;1
6;Energie;2023-06-13 00:00:00;jaynaApp.contract.sub-category.energy;1
7;Kaufvertrag;2023-06-13 00:00:00;jaynaApp.contract.sub-category.purchase-contract;1
8;Kredit;2023-06-13 00:00:00;jaynaApp.contract.sub-category.credit;1
9;Leasing;2023-06-13 00:00:00;jaynaApp.contract.sub-category.leasing;1
10;Leihvertrag;2023-06-13 00:00:00;jaynaApp.contract.sub-category.loan-agreement;1
11;Medien;2023-06-13 00:00:00;jaynaApp.contract.sub-category.media;1
12;Mietvertrag;2023-06-13 00:00:00;jaynaApp.contract.sub-category.rental-contract;1
13;Versicherung;2023-06-13 00:00:00;jaynaApp.contract.sub-category.insurance;1
14;Hausverwaltung;2023-06-13 00:00:00;jaynaApp.contract.sub-category.property-management;1
15;Mietverwaltung;2023-06-13 00:00:00;jaynaApp.contract.sub-category.rental-management;1
16;mit Bebauung;2023-06-13 00:00:00;jaynaApp.realestate.sub-category.with-development;2
17;ohne Bebauung;2023-06-13 00:00:00;jaynaApp.realestate.sub-category.without-development;2
18;Bank;2023-06-13 00:00:00;jaynaApp.financeaccount.sub-category.bank;4
19;Kredit;2023-06-13 00:00:00;jaynaApp.financeaccount.sub-category.credit;4
20;Systeme;2023-06-13 00:00:00;jaynaApp.financeaccount.sub-category.systems;4
21;Kontakte;2023-06-13 00:00:00;jaynaApp.contact.sub-category.contact;3
